,ID,Robocrys_description,N_tokens,SG,SG_symbol,Crystal_system,Structure_types
14,mp-87,"Be is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Be is bonded to twelve equivalent Be atoms to form a mixture of face, corner, and edge-sharing BeBe12 cuboctahedra. There are six shorter (2.21 Å) and six longer (2.26 Å) Be-Be bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
15,mp-10172,"Na is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Na is bonded to twelve equivalent Na atoms to form a mixture of corner, face, and edge-sharing NaNa12 cuboctahedra. There are six shorter (3.69 Å) and six longer (3.79 Å) Na-Na bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
16,mp-117,Sn is diamond structured and crystallizes in the cubic Fd̅3m space group. Sn is bonded to four equivalent Sn atoms to form corner-sharing SnSn4 tetrahedra. All Sn-Sn bond lengths are 2.84 Å.,32,227,Fd-3m,cubic,diamond
17,mp-122,Ba is Tungsten structured and crystallizes in the orthorhombic Cmcm space group. Ba is bonded in a body-centered cubic geometry to eight equivalent Ba atoms. There are a spread of Ba-Ba bond distances ranging from 4.37-4.41 Å.,37,229,Im-3m,cubic,Tungsten
18,mp-129,Mo is Tungsten structured and crystallizes in the cubic Im̅3m space group. Mo is bonded in a distorted body-centered cubic geometry to eight equivalent Mo atoms. All Mo-Mo bond lengths are 2.74 Å.,33,229,Im-3m,cubic,Tungsten
19,mp-139,"Sr is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Sr is bonded to twelve equivalent Sr atoms to form a mixture of edge, corner, and face-sharing SrSr12 cuboctahedra. There are six shorter (4.30 Å) and six longer (4.31 Å) Sr-Sr bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
20,mp-143,"Tm is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Tm is bonded to twelve equivalent Tm atoms to form a mixture of edge, face, and corner-sharing TmTm12 cuboctahedra. There are six shorter (3.43 Å) and six longer (3.56 Å) Tm-Tm bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
21,mp-146,V is Tungsten structured and crystallizes in the cubic Im̅3m space group. V is bonded in a distorted body-centered cubic geometry to eight equivalent V atoms. All V-V bond lengths are 2.58 Å.,33,229,Im-3m,cubic,Tungsten
22,mp-149,Si is diamond structured and crystallizes in the cubic Fd̅3m space group. Si is bonded to four equivalent Si atoms to form corner-sharing SiSi4 tetrahedra. All Si-Si bond lengths are 2.36 Å.,32,227,Fd-3m,cubic,diamond
23,mp-18,"Tb is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Tb is bonded to twelve equivalent Tb atoms to form a mixture of corner, face, and edge-sharing TbTb12 cuboctahedra. There are six shorter (3.51 Å) and six longer (3.67 Å) Tb-Tb bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
24,mp-21462,"Eu is Magnesium structured and crystallizes in the orthorhombic Cmcm space group. Eu is bonded to twelve equivalent Eu atoms to form a mixture of corner, edge, and face-sharing EuEu12 cuboctahedra. There are a spread of Eu-Eu bond distances ranging from 3.90-4.01 Å.",43,194,P6_3/mmc,hexagonal,Magnesium
25,mp-32,Ge is diamond structured and crystallizes in the cubic Fd̅3m space group. Ge is bonded to four equivalent Ge atoms to form corner-sharing GeGe4 tetrahedra. All Ge-Ge bond lengths are 2.46 Å.,32,227,Fd-3m,cubic,diamond
26,mp-33,"Ru is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Ru is bonded to twelve equivalent Ru atoms to form a mixture of corner, face, and edge-sharing RuRu12 cuboctahedra. There are six shorter (2.65 Å) and six longer (2.71 Å) Ru-Ru bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
27,mp-49,"Os is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Os is bonded to twelve equivalent Os atoms to form a mixture of face, corner, and edge-sharing OsOs12 cuboctahedra. There are six shorter (2.68 Å) and six longer (2.75 Å) Os-Os bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
28,mp-75,Nb is Tungsten structured and crystallizes in the cubic Im̅3m space group. Nb is bonded in a distorted body-centered cubic geometry to eight equivalent Nb atoms. All Nb-Nb bond lengths are 2.87 Å.,33,229,Im-3m,cubic,Tungsten
29,mp-79,"Zn is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Zn is bonded to twelve equivalent Zn atoms to form a mixture of corner, edge, and face-sharing ZnZn12 cuboctahedra. There are six shorter (2.61 Å) and six longer (2.87 Å) Zn-Zn bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
30,mp-82,"Tl is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Tl is bonded to twelve equivalent Tl atoms to form a mixture of corner, face, and edge-sharing TlTl12 cuboctahedra. There are six shorter (3.47 Å) and six longer (3.50 Å) Tl-Tl bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
31,mp-88,"Dy is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Dy is bonded to twelve equivalent Dy atoms to form a mixture of corner, face, and edge-sharing DyDy12 cuboctahedra. There are six shorter (3.49 Å) and six longer (3.64 Å) Dy-Dy bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
32,mp-90,Cr is Tungsten structured and crystallizes in the cubic Im̅3m space group. Cr is bonded in a distorted body-centered cubic geometry to eight equivalent Cr atoms. All Cr-Cr bond lengths are 2.57 Å.,33,229,Im-3m,cubic,Tungsten
33,mp-94,"Cd is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Cd is bonded to twelve equivalent Cd atoms to form a mixture of edge, face, and corner-sharing CdCd12 cuboctahedra. There are six shorter (2.96 Å) and six longer (3.40 Å) Cd-Cd bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
34,mp-101,"Ir is Copper structured and crystallizes in the cubic Fm̅3m space group. Ir is bonded to twelve equivalent Ir atoms to form a mixture of corner, edge, and face-sharing IrIr12 cuboctahedra. All Ir-Ir bond lengths are 2.73 Å.",38,225,Fm-3m,cubic,Copper
35,mp-102,"Co is Copper structured and crystallizes in the cubic Fm̅3m space group. Co is bonded to twelve equivalent Co atoms to form a mixture of edge, face, and corner-sharing CoCo12 cuboctahedra. All Co-Co bond lengths are 2.48 Å.",38,225,Fm-3m,cubic,Copper
36,mp-1055940,"Cs is Copper structured and crystallizes in the cubic Fm̅3m space group. Cs is bonded to twelve equivalent Cs atoms to form a mixture of edge, corner, and face-sharing CsCs12 cuboctahedra. All Cs-Cs bond lengths are 5.58 Å.",38,225,Fm-3m,cubic,Copper
37,mp-111,Ne is Copper structured and crystallizes in the cubic Fm̅3m space group. The structure is zero-dimensional and consists of four Ne clusters. Ne is bonded in a 1-coordinate geometry to  atoms.,31,225,Fm-3m,cubic,Copper
38,mp-126,"Pt is Copper structured and crystallizes in the cubic Fm̅3m space group. Pt is bonded to twelve equivalent Pt atoms to form a mixture of corner, face, and edge-sharing PtPt12 cuboctahedra. All Pt-Pt bond lengths are 2.79 Å.",38,225,Fm-3m,cubic,Copper
39,mp-13,Fe is Tungsten structured and crystallizes in the cubic Im̅3m space group. Fe is bonded in a distorted body-centered cubic geometry to eight equivalent Fe atoms. All Fe-Fe bond lengths are 2.48 Å.,33,229,Im-3m,cubic,Tungsten
40,mp-134,"Al is Copper structured and crystallizes in the cubic Fm̅3m space group. Al is bonded to twelve equivalent Al atoms to form a mixture of edge, corner, and face-sharing AlAl12 cuboctahedra. All Al-Al bond lengths are 2.86 Å.",38,225,Fm-3m,cubic,Copper
41,mp-142,Ga is alpha structured and crystallizes in the orthorhombic Cmce space group. Ga is bonded in a 7-coordinate geometry to seven equivalent Ga atoms. There are a spread of Ga-Ga bond distances ranging from 2.49-2.75 Å.,36,64,Cmce,orthorhombic,alpha
42,mp-2,"Pd is Copper structured and crystallizes in the cubic Fm̅3m space group. Pd is bonded to twelve equivalent Pd atoms to form a mixture of face, edge, and corner-sharing PdPd12 cuboctahedra. All Pd-Pd bond lengths are 2.77 Å.",38,225,Fm-3m,cubic,Copper
43,mp-20483,"Pb is Copper structured and crystallizes in the cubic Fm̅3m space group. Pb is bonded to twelve equivalent Pb atoms to form a mixture of edge, corner, and face-sharing PbPb12 cuboctahedra. All Pb-Pb bond lengths are 3.53 Å.",38,225,Fm-3m,cubic,Copper
44,mp-22848,Cl2 is Cubic alpha N2-like structured and crystallizes in the orthorhombic Cmce space group. The structure is zero-dimensional and consists of four Cl2 clusters. Cl is bonded in a single-bond geometry to one Cl atom. The Cl-Cl bond length is 2.00 Å.,42,64,Cmce,orthorhombic,Cubic alpha N2-like
45,mp-23,"Ni is Copper structured and crystallizes in the cubic Fm̅3m space group. Ni is bonded to twelve equivalent Ni atoms to form a mixture of edge, corner, and face-sharing NiNi12 cuboctahedra. All Ni-Ni bond lengths are 2.46 Å.",38,225,Fm-3m,cubic,Copper
46,mp-23155,Ar is Copper structured and crystallizes in the cubic Fm̅3m space group. The structure is zero-dimensional and consists of four Ar clusters. Ar is bonded in a 1-coordinate geometry to  atoms.,31,225,Fm-3m,cubic,Copper
47,mp-23158,He is Tungsten structured and crystallizes in the cubic Im̅3m space group. The structure is zero-dimensional and consists of two He clusters. He is bonded in a 1-coordinate geometry to  atoms.,31,229,Im-3m,cubic,Tungsten
48,mp-28,"Ce is Copper structured and crystallizes in the cubic Fm̅3m space group. Ce is bonded to twelve equivalent Ce atoms to form a mixture of corner, face, and edge-sharing CeCe12 cuboctahedra. All Ce-Ce bond lengths are 3.30 Å.",38,225,Fm-3m,cubic,Copper
49,mp-30,"Cu is Copper structured and crystallizes in the cubic Fm̅3m space group. Cu is bonded to twelve equivalent Cu atoms to form a mixture of edge, face, and corner-sharing CuCu12 cuboctahedra. All Cu-Cu bond lengths are 2.53 Å.",38,225,Fm-3m,cubic,Copper
50,mp-37,"Th is Copper structured and crystallizes in the cubic Fm̅3m space group. Th is bonded to twelve equivalent Th atoms to form a mixture of corner, face, and edge-sharing ThTh12 cuboctahedra. All Th-Th bond lengths are 3.57 Å.",38,225,Fm-3m,cubic,Copper
51,mp-45,"Ca is Copper structured and crystallizes in the cubic Fm̅3m space group. Ca is bonded to twelve equivalent Ca atoms to form a mixture of face, edge, and corner-sharing CaCa12 cuboctahedra. All Ca-Ca bond lengths are 3.94 Å.",38,225,Fm-3m,cubic,Copper
52,mp-74,"Rh is Copper structured and crystallizes in the cubic Fm̅3m space group. Rh is bonded to twelve equivalent Rh atoms to form a mixture of edge, face, and corner-sharing RhRh12 cuboctahedra. All Rh-Rh bond lengths are 2.69 Å.",38,225,Fm-3m,cubic,Copper
53,mp-81,"Au is Copper structured and crystallizes in the cubic Fm̅3m space group. Au is bonded to twelve equivalent Au atoms to form a mixture of edge, face, and corner-sharing AuAu12 cuboctahedra. All Au-Au bond lengths are 2.95 Å.",38,225,Fm-3m,cubic,Copper
54,mp-85,"In is Copper structured and crystallizes in the tetragonal I4/mmm space group. In is bonded to twelve equivalent In atoms to form a mixture of corner, face, and edge-sharing InIn12 cuboctahedra. There are eight shorter (3.32 Å) and four longer (3.39 Å) In-In bond lengths.",45,225,Fm-3m,cubic,Copper
55,mp-91,W is Tungsten structured and crystallizes in the cubic Im̅3m space group. W is bonded in a distorted body-centered cubic geometry to eight equivalent W atoms. All W-W bond lengths are 2.75 Å.,33,229,Im-3m,cubic,Tungsten
56,mp-1067587,"TaP is alpha Niobium phosphide structured and crystallizes in the tetragonal I41md space group. Ta3+ is bonded to six equivalent P3- atoms to form a mixture of distorted edge, corner, and face-sharing TaP6 pentagonal pyramids. There are two shorter (2.53 Å) and four longer (2.54 Å) Ta-P bond lengths. P3- is bonded to six equivalent Ta3+ atoms to form a mixture of distorted edge, corner, and face-sharing PTa6 pentagonal pyramids.",70,109,I4_1md,tetragonal,alpha Niobium phosphide
57,mp-1936,"TaAs is alpha Niobium phosphide structured and crystallizes in the tetragonal I41md space group. Ta3+ is bonded to six equivalent As3- atoms to form a mixture of distorted edge, corner, and face-sharing TaAs6 pentagonal pyramids. There are two shorter (2.61 Å) and four longer (2.62 Å) Ta-As bond lengths. As3- is bonded to six equivalent Ta3+ atoms to form a mixture of distorted edge, corner, and face-sharing AsTa6 pentagonal pyramids.",70,109,I4_1md,tetragonal,alpha Niobium phosphide
58,mp-2059,"NbAs is alpha Niobium phosphide structured and crystallizes in the tetragonal I41md space group. Nb3+ is bonded to six equivalent As3- atoms to form a mixture of distorted corner, edge, and face-sharing NbAs6 pentagonal pyramids. There are two shorter (2.63 Å) and four longer (2.64 Å) Nb-As bond lengths. As3- is bonded to six equivalent Nb3+ atoms to form a mixture of distorted corner, edge, and face-sharing AsNb6 pentagonal pyramids.",70,109,I4_1md,tetragonal,alpha Niobium phosphide
59,mp-7818,Pd4Se crystallizes in the tetragonal P̅421c space group. Pd is bonded in a distorted bent 150 degrees geometry to two equivalent Se atoms. There is one shorter (2.47 Å) and one longer (2.51 Å) Pd-Se bond length. Se is bonded in a 8-coordinate geometry to eight equivalent Pd atoms.,49,114,P-42_1c,tetragonal,
60,mp-9339,"NbP is alpha Niobium phosphide structured and crystallizes in the tetragonal I41md space group. Nb3+ is bonded to six equivalent P3- atoms to form a mixture of distorted edge, corner, and face-sharing NbP6 pentagonal pyramids. All Nb-P bond lengths are 2.55 Å. P3- is bonded to six equivalent Nb3+ atoms to form a mixture of distorted edge, corner, and face-sharing PNb6 pentagonal pyramids.",63,109,I4_1md,tetragonal,alpha Niobium phosphide
61,mp-11870,RhHg2 crystallizes in the tetragonal P4/mmm space group. Rh is bonded in a body-centered cubic geometry to eight equivalent Hg atoms. All Rh-Hg bond lengths are 2.76 Å. Hg is bonded in a 4-coordinate geometry to four equivalent Rh atoms.,40,123,P4/mmm,tetragonal,
62,mp-1359,"IrNb is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Nb is bonded to eight equivalent Ir atoms to form a mixture of distorted edge, face, and corner-sharing NbIr8 cuboctahedra. All Nb-Ir bond lengths are 2.81 Å. Ir is bonded to eight equivalent Nb atoms to form a mixture of distorted edge, face, and corner-sharing IrNb8 cuboctahedra.",59,123,P4/mmm,tetragonal,Tetraauricupride
63,mp-1601,RuTa is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Ta is bonded in a body-centered cubic geometry to eight equivalent Ru atoms. All Ta-Ru bond lengths are 2.74 Å. Ru is bonded in a body-centered cubic geometry to eight equivalent Ta atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
64,mp-1652,PdZn is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Pd is bonded in a body-centered cubic geometry to eight equivalent Zn atoms. All Pd-Zn bond lengths are 2.64 Å. Zn is bonded in a body-centered cubic geometry to eight equivalent Pd atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
65,mp-1696,PdCd is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Pd is bonded in a distorted body-centered cubic geometry to eight equivalent Cd atoms. All Pd-Cd bond lengths are 2.83 Å. Cd is bonded in a distorted body-centered cubic geometry to eight equivalent Pd atoms.,47,123,P4/mmm,tetragonal,Tetraauricupride
66,mp-1963,"NbRh is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Nb is bonded to eight equivalent Rh atoms to form a mixture of distorted edge, face, and corner-sharing NbRh8 cuboctahedra. All Nb-Rh bond lengths are 2.80 Å. Rh is bonded to eight equivalent Nb atoms to form a mixture of distorted edge, face, and corner-sharing RhNb8 cuboctahedra.",59,123,P4/mmm,tetragonal,Tetraauricupride
67,mp-20034,CaPb is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Ca is bonded in a distorted body-centered cubic geometry to eight equivalent Pb atoms. All Ca-Pb bond lengths are 3.42 Å. Pb is bonded in a distorted body-centered cubic geometry to eight equivalent Ca atoms.,47,123,P4/mmm,tetragonal,Tetraauricupride
68,mp-2260,"FePt is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Fe2+ is bonded in a distorted body-centered cubic geometry to eight equivalent Pt2- atoms. All Fe-Pt bond lengths are 2.69 Å. Pt2- is bonded to eight equivalent Fe2+ and four equivalent Pt2- atoms to form a mixture of distorted edge, corner, and face-sharing PtFe8Pt4 cuboctahedra. All Pt-Pt bond lengths are 2.73 Å.",64,123,P4/mmm,tetragonal,Tetraauricupride
69,mp-22902,LiBi is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Li is bonded in a body-centered cubic geometry to eight equivalent Bi atoms. All Li-Bi bond lengths are 3.19 Å. Bi is bonded in a distorted body-centered cubic geometry to eight equivalent Li atoms.,46,123,P4/mmm,tetragonal,Tetraauricupride
70,mp-22909,ZnCl2 crystallizes in the tetragonal I̅42d space group. Zn2+ is bonded to four equivalent Cl1- atoms to form corner-sharing ZnCl4 tetrahedra. All Zn-Cl bond lengths are 2.28 Å. Cl1- is bonded in a water-like geometry to two equivalent Zn2+ atoms.,40,122,I-42d,tetragonal,
71,mp-22924,"NaBi is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Na is bonded to eight equivalent Bi atoms to form a mixture of distorted edge, corner, and face-sharing NaBi8 cuboctahedra. All Na-Bi bond lengths are 3.42 Å. Bi is bonded to eight equivalent Na atoms to form a mixture of distorted edge, corner, and face-sharing BiNa8 cuboctahedra.",59,123,P4/mmm,tetragonal,Tetraauricupride
72,mp-2678,"PtV is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. V2+ is bonded in a 8-coordinate geometry to eight equivalent Pt2- atoms. All V-Pt bond lengths are 2.72 Å. Pt2- is bonded to eight equivalent V2+ and four equivalent Pt2- atoms to form a mixture of distorted edge, face, and corner-sharing PtV8Pt4 cuboctahedra. All Pt-Pt bond lengths are 2.69 Å.",62,123,P4/mmm,tetragonal,Tetraauricupride
73,mp-2685,"PdHg is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Pd is bonded to eight equivalent Hg atoms to form a mixture of distorted face, corner, and edge-sharing PdHg8 cuboctahedra. All Pd-Hg bond lengths are 2.87 Å. Hg is bonded to eight equivalent Pd atoms to form a mixture of distorted face, corner, and edge-sharing HgPd8 cuboctahedra.",59,123,P4/mmm,tetragonal,Tetraauricupride
74,mp-432,NbRu is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Nb is bonded in a body-centered cubic geometry to eight equivalent Ru atoms. All Nb-Ru bond lengths are 2.76 Å. Ru is bonded in a body-centered cubic geometry to eight equivalent Nb atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
75,mp-522,AuCu is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Au1- is bonded in a distorted body-centered cubic geometry to eight equivalent Cu1+ atoms. All Au-Cu bond lengths are 2.70 Å. Cu1+ is bonded in a body-centered cubic geometry to eight equivalent Au1- atoms.,46,123,P4/mmm,tetragonal,Tetraauricupride
76,mp-1054,ErTl is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Er is bonded in a body-centered cubic geometry to eight equivalent Tl atoms. All Er-Tl bond lengths are 3.24 Å. Tl is bonded in a body-centered cubic geometry to eight equivalent Er atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
77,mp-11359,CuGa2 crystallizes in the tetragonal P4/mmm space group. Cu is bonded in a distorted body-centered cubic geometry to eight equivalent Ga atoms. All Cu-Ga bond lengths are 2.58 Å. Ga is bonded in a 9-coordinate geometry to four equivalent Cu and five equivalent Ga atoms. There is one shorter (2.50 Å) and four longer (2.80 Å) Ga-Ga bond lengths.,59,123,P4/mmm,tetragonal,
78,mp-1194,PtCd is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Pt2- is bonded in a distorted body-centered cubic geometry to eight equivalent Cd2+ atoms. All Pt-Cd bond lengths are 2.86 Å. Cd2+ is bonded in a body-centered cubic geometry to eight equivalent Pt2- atoms.,46,123,P4/mmm,tetragonal,Tetraauricupride
79,mp-1235,IrTi is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Ti is bonded in a body-centered cubic geometry to eight equivalent Ir atoms. All Ti-Ir bond lengths are 2.70 Å. Ir is bonded in a body-centered cubic geometry to eight equivalent Ti atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
80,mp-1670,PtMn is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Mn2+ is bonded in a body-centered cubic geometry to eight equivalent Pt2- atoms. All Mn-Pt bond lengths are 2.71 Å. Pt2- is bonded in a body-centered cubic geometry to eight equivalent Mn2+ atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
81,mp-19819,GdIn is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Gd is bonded in a body-centered cubic geometry to eight equivalent In atoms. All Gd-In bond lengths are 3.29 Å. In is bonded in a body-centered cubic geometry to eight equivalent Gd atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
82,mp-20394,EuPb is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Eu is bonded in a body-centered cubic geometry to eight equivalent Pb atoms. All Eu-Pb bond lengths are 3.48 Å. Pb is bonded in a body-centered cubic geometry to eight equivalent Eu atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
83,mp-2510,"ZrHg is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Zr is bonded to eight equivalent Hg atoms to form a mixture of distorted edge, corner, and face-sharing ZrHg8 cuboctahedra. All Zr-Hg bond lengths are 3.09 Å. Hg is bonded to eight equivalent Zr atoms to form a mixture of distorted edge, corner, and face-sharing HgZr8 cuboctahedra.",59,123,P4/mmm,tetragonal,Tetraauricupride
84,mp-2541,SmTl is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Sm is bonded in a body-centered cubic geometry to eight equivalent Tl atoms. All Sm-Tl bond lengths are 3.34 Å. Tl is bonded in a body-centered cubic geometry to eight equivalent Sm atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
85,mp-2583,TiRh is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Ti is bonded in a body-centered cubic geometry to eight equivalent Rh atoms. All Ti-Rh bond lengths are 2.69 Å. Rh is bonded in a body-centered cubic geometry to eight equivalent Ti atoms.,45,123,P4/mmm,tetragonal,Tetraauricupride
86,mp-429,NiZn is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Ni is bonded in a distorted body-centered cubic geometry to eight equivalent Zn atoms. All Ni-Zn bond lengths are 2.48 Å. Zn is bonded in a distorted body-centered cubic geometry to eight equivalent Ni atoms.,47,123,P4/mmm,tetragonal,Tetraauricupride
87,mp-894,PtZn is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Pt2- is bonded in a distorted body-centered cubic geometry to eight equivalent Zn2+ atoms. All Pt-Zn bond lengths are 2.67 Å. Zn2+ is bonded in a body-centered cubic geometry to eight equivalent Pt2- atoms.,46,123,P4/mmm,tetragonal,Tetraauricupride
88,mp-945,"PtNi is Tetraauricupride structured and crystallizes in the tetragonal P4/mmm space group. Pt2- is bonded to eight equivalent Ni2+ atoms to form a mixture of distorted edge, face, and corner-sharing PtNi8 cuboctahedra. All Pt-Ni bond lengths are 2.62 Å. Ni2+ is bonded in a body-centered cubic geometry to eight equivalent Pt2- atoms.",52,123,P4/mmm,tetragonal,Tetraauricupride
